"","ID.","NAME","Type","dvera","dwat","v1","v2","v3","v4","v5","v6","COLLAR","year","SPECIES"
"156",156,"520-2015",1,2.804631913,6.349948375,99,1,0,0,0,0,520,2015,1
"157",157,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"158",158,"520-2015",1,2.881092971,5.04712058,100,0,0,0,0,0,520,2015,1
"159",159,"520-2015",1,5.099563789,4.416209116,84,16,0,0,0,0,520,2015,1
"160",160,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"161",161,"520-2015",1,3.781261695,4.616503672,100,0,0,0,0,0,520,2015,1
"162",162,"520-2015",1,2.804631913,6.349948375,99,1,0,0,0,0,520,2015,1
"163",163,"520-2015",1,1.607211427,8.151311955,0,0,32,0,0,68,520,2015,1
"164",164,"520-2015",1,1.497596002,4.247800684,76,0,24,0,0,0,520,2015,1
"165",165,"520-2015",1,1.613283313,4.874315379,100,0,0,0,0,0,520,2015,1
"166",166,"520-2015",1,1.607211427,8.151311955,0,0,32,0,0,68,520,2015,1
"167",167,"520-2015",1,1.707486847,3.785677906,49,0,51,0,0,0,520,2015,1
"168",168,"520-2015",1,3.589675288,2.078140521,92,0,0,0,0,8,520,2015,1
"169",169,"520-2015",1,0.644675056,6.864710907,0,100,0,0,0,0,520,2015,1
"170",170,"520-2015",1,4.537122976,3.429863729,70,0,30,0,0,0,520,2015,1
"171",171,"520-2015",1,9.797108219,3.080131083,100,0,0,0,0,0,520,2015,1
"172",172,"520-2015",1,1.711805801,9.504114382,0,0,0,0,0,100,520,2015,1
"173",173,"520-2015",1,3.548360949,3.709559645,85,0,15,0,0,0,520,2015,1
"174",174,"520-2015",1,5.529962552,3.429164305,100,0,0,0,0,0,520,2015,1
"175",175,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"176",176,"520-2015",1,0.497582115,5.103767921,21,36,43,0,0,0,520,2015,1
"177",177,"520-2015",1,1.529957998,6.282996486,38,62,0,0,0,0,520,2015,1
"178",178,"520-2015",1,0.323905622,6.004449964,0,94,6,0,0,0,520,2015,1
"179",179,"520-2015",1,2.975461531,7.804045631,0,0,0,0,0,100,520,2015,1
"180",180,"520-2015",1,2.881092971,5.04712058,100,0,0,0,0,0,520,2015,1
"181",181,"520-2015",1,0.497555936,7.841120729,0,100,0,0,0,0,520,2015,1
"182",182,"520-2015",1,2.262526088,10.86478521,0,0,0,0,0,100,520,2015,1
"183",183,"520-2015",1,1.397887147,10.31031608,0,0,0,0,0,100,520,2015,1
