"","ï..id","sp","count1","count2","count3","count4","count5","count6","count7","count8","count9","count10","count11","count12","count13","count14","count15","count16","count17","count18","count.19","count.20","count.21","count.22","count.23","count.24","count.25","dvera_mean","dwat_mean","v1_sum","v2_sum","v3_sum","v4_sum","v5_sum","v6_sum","year","typeuse","time1","time2","time3","time4","time5","time6","time7","time8","time9","time10","time11","time12","time13","time14","time15","time16","time17","time18","time19","time20","time21","time22","time23","time24","time25"
"45","C146","jabali",1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20814325930247,13.3462296751566,0,0,69,0,0,31,0,3,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","C165","ciervo",NA,NA,NA,NA,NA,NA,0,0,0,0,9,10,10,2,9,10,4,10,NA,NA,NA,NA,NA,NA,NA,7.49763173077617,6.28303915030392,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"47","C165","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7.49763173077617,6.28303915030392,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"48","C165","jabali",NA,NA,NA,NA,NA,NA,1,2,5,7,2,2,2,0,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,7.49763173077617,6.28303915030392,0,100,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"49","C167","ciervo",NA,NA,NA,NA,NA,NA,0,1,5,6,3,0,0,1,1,3,2,4,NA,NA,NA,NA,NA,NA,NA,3.74486622320792,17.0743501678878,0,0,100,0,0,0,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"50","C167","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3.74486622320792,17.0743501678878,0,0,100,0,0,0,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"51","C167","jabali",NA,NA,NA,NA,NA,NA,1,2,5,0,0,3,3,4,9,6,18,7,NA,NA,NA,NA,NA,NA,NA,3.74486622320792,17.0743501678878,0,0,100,0,0,0,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"52","C184","ciervo",NA,NA,NA,NA,NA,NA,6,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8887029514399,6.72007904372959,88,12,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","C184","gamo",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8887029514399,6.72007904372959,88,12,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","C184","jabali",NA,NA,NA,NA,NA,NA,7,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8887029514399,6.72007904372959,88,12,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","C186","ciervo",NA,NA,NA,NA,NA,NA,6,14,10,13,13,20,18,12,12,10,18,17,NA,NA,NA,NA,NA,NA,NA,4.1489096294839,5.76333131244,100,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"56","C186","gamo",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.1489096294839,5.76333131244,100,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"57","C186","jabali",NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,2,1,5,2,6,4,NA,NA,NA,NA,NA,NA,NA,4.1489096294839,5.76333131244,100,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"58","C187","ciervo",NA,NA,NA,NA,NA,NA,6,13,23,19,14,9,7,14,15,16,18,25,NA,NA,NA,NA,NA,NA,NA,0.355382305057773,10.626243387574,0,0,69,0,0,31,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"59","C187","gamo",NA,NA,NA,NA,NA,NA,3,1,4,6,4,NA,3,9,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.355382305057773,10.626243387574,0,0,69,0,0,31,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
"60","C187","jabali",NA,NA,NA,NA,NA,NA,3,17,18,23,8,6,9,5,8,8,9,16,NA,NA,NA,NA,NA,NA,NA,0.355382305057773,10.626243387574,0,0,69,0,0,31,0,3,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,NA,NA,NA,NA,NA,NA
